model,quantile,tail_event_type,target_family,direction,tail_side,column_used,candidate_columns,threshold_used,n_periods,n_tail_days,model_profit_in_tail_periods,benchmark_profit_in_tail_periods,tail_regret_eur,tail_regret_share_of_total_regret,non_tail_regret_eur,data_status
RLQR,p10,DA price high tail,da_price,none,high,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
RLQR,p10,DA price low tail,da_price,none,low,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
RLQR,p10,aFRR capacity price + high tail,afrr_capacity_price,pos,high,real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,realized_capacity_price_pos; realized_afrr_capacity_price_pos; afrr_capacity_price_pos; capacity_price_pos; target_afrr_capacity_price_pos; real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,11.316015222549439,76.0,11.0,20037.45395665396,0.0,-20037.45395665396,0.2799243264197929,-51544.22746750522,available_daily_overlap
RLQR,p10,aFRR capacity price - high tail,afrr_capacity_price,neg,high,real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,realized_capacity_price_neg; realized_afrr_capacity_price_neg; afrr_capacity_price_neg; capacity_price_neg; target_afrr_capacity_price_neg; real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,38.31226709938049,76.0,17.0,38420.956321380174,0.0,-38420.956321380174,0.5367428587450435,-33160.725102779004,available_daily_overlap
RLQR,p10,aFRR activation price + high tail,afrr_activation_price,pos,high,real_bem_submitted_activation_price_pos_eur_per_mwh,realized_activation_price_pos; realized_afrr_activation_price_pos; afrr_activation_price_pos; real_act_price_pos; target_afrr_activation_price_vwap_pos; real_bem_submitted_activation_price_pos_eur_per_mwh; real_bcm_true_activation_price_pos; real_bcm_p50_executed_act_pos_price_eur_mwh,1344.8106879301308,74.0,25.0,26013.893271389246,0.0,-26013.893271389246,0.3634155101392942,-45567.788152769936,available_daily_overlap
RLQR,p10,aFRR activation price - high tail,afrr_activation_price,neg,high,real_bem_submitted_activation_price_neg_eur_per_mwh,realized_activation_price_neg; realized_afrr_activation_price_neg; afrr_activation_price_neg; real_act_price_neg; target_afrr_activation_price_vwap_neg; real_bem_submitted_activation_price_neg_eur_per_mwh; real_bcm_true_activation_price_neg; real_bcm_p50_executed_act_neg_price_eur_mwh,1314.2000215717173,74.0,30.0,42761.44972469887,0.0,-42761.44972469887,0.5973797887103929,-28820.23169946031,available_daily_overlap
RLQR,p10,aFRR activation rate + high tail,afrr_activation_rate,pos,high,da_precommit_da_settlement_equiv_replay_act_pos_rate,realized_activation_rate_pos; realized_afrr_activation_rate_pos; afrr_activation_rate_pos; act_pos_rate; real_act_rate_pos; target_afrr_activation_rate_pos; da_precommit_da_settlement_equiv_replay_act_pos_rate,0.01592887195929444,72.0,19.0,27820.7899558205,0.0,-27820.7899558205,0.388657955531495,-43760.89146833868,available_daily_overlap
RLQR,p10,aFRR activation rate - high tail,afrr_activation_rate,neg,high,da_precommit_da_settlement_equiv_replay_act_neg_rate,realized_activation_rate_neg; realized_afrr_activation_rate_neg; afrr_activation_rate_neg; act_neg_rate; real_act_rate_neg; target_afrr_activation_rate_neg; da_precommit_da_settlement_equiv_replay_act_neg_rate,0.014205556560117972,72.0,16.0,20874.653598051667,0.0,-20874.653598051667,0.291620051146303,-50707.027826107515,available_daily_overlap
RLQR,p30,DA price high tail,da_price,none,high,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
RLQR,p30,DA price low tail,da_price,none,low,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
RLQR,p30,aFRR capacity price + high tail,afrr_capacity_price,pos,high,real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,realized_capacity_price_pos; realized_afrr_capacity_price_pos; afrr_capacity_price_pos; capacity_price_pos; target_afrr_capacity_price_pos; real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,1.1127682228088378,76.0,14.0,40725.52137092349,0.0,-40725.52137092349,0.5142577976156861,-38467.2911829046,available_daily_overlap
RLQR,p30,aFRR capacity price - high tail,afrr_capacity_price,neg,high,real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,realized_capacity_price_neg; realized_afrr_capacity_price_neg; afrr_capacity_price_neg; capacity_price_neg; target_afrr_capacity_price_neg; real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,32.60434370613098,76.0,13.0,38468.71813921117,0.0,-38468.71813921117,0.48576022114460987,-40724.09441461692,available_daily_overlap
RLQR,p30,aFRR activation price + high tail,afrr_activation_price,pos,high,real_bem_submitted_activation_price_pos_eur_per_mwh,realized_activation_price_pos; realized_afrr_activation_price_pos; afrr_activation_price_pos; real_act_price_pos; target_afrr_activation_price_vwap_pos; real_bem_submitted_activation_price_pos_eur_per_mwh; real_bcm_true_activation_price_pos; real_bcm_p50_executed_act_pos_price_eur_mwh,1691.3461961577575,74.0,25.0,44450.8415771143,0.0,-44450.8415771143,0.5612989379168803,-34741.97097671379,available_daily_overlap
RLQR,p30,aFRR activation price - high tail,afrr_activation_price,neg,high,real_bem_submitted_activation_price_neg_eur_per_mwh,realized_activation_price_neg; realized_afrr_activation_price_neg; afrr_activation_price_neg; real_act_price_neg; target_afrr_activation_price_vwap_neg; real_bem_submitted_activation_price_neg_eur_per_mwh; real_bcm_true_activation_price_neg; real_bcm_p50_executed_act_neg_price_eur_mwh,1635.0953712171456,74.0,24.0,40257.185598907396,0.0,-40257.185598907396,0.5083439304740467,-38935.62695492069,available_daily_overlap
RLQR,p30,aFRR activation rate + high tail,afrr_activation_rate,pos,high,da_precommit_da_settlement_equiv_replay_act_pos_rate,realized_activation_rate_pos; realized_afrr_activation_rate_pos; afrr_activation_rate_pos; act_pos_rate; real_act_rate_pos; target_afrr_activation_rate_pos; da_precommit_da_settlement_equiv_replay_act_pos_rate,0.014851135883326897,72.0,22.0,31581.533798421944,0.0,-31581.533798421944,0.398792930570002,-47611.27875540614,available_daily_overlap
RLQR,p30,aFRR activation rate - high tail,afrr_activation_rate,neg,high,da_precommit_da_settlement_equiv_replay_act_neg_rate,realized_activation_rate_neg; realized_afrr_activation_rate_neg; afrr_activation_rate_neg; act_neg_rate; real_act_rate_neg; target_afrr_activation_rate_neg; da_precommit_da_settlement_equiv_replay_act_neg_rate,0.01359930174592532,72.0,19.0,30136.764407395178,0.0,-30136.764407395178,0.38054923717870154,-49056.048146432906,available_daily_overlap
RLQR,p50,DA price high tail,da_price,none,high,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
RLQR,p50,DA price low tail,da_price,none,low,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
RLQR,p50,aFRR capacity price + high tail,afrr_capacity_price,pos,high,real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,realized_capacity_price_pos; realized_afrr_capacity_price_pos; afrr_capacity_price_pos; capacity_price_pos; target_afrr_capacity_price_pos; real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,0.0,1463.0,62.0,93509.54213812409,0.0,-93509.54213812409,1.0,0.0,available_daily_overlap
